LIBELLE,SERVICE,latitude,longitude,retard_moyen
MONTEREAU,National,48.379776,2.941287,
DIEPPE,National,49.913876,1.079174,
DIEPPE,National,49.91676,1.081413,
DIEPPE,National,49.921405,1.08097,
VENDOME,National,47.802032,1.067141,
VENDOME,National,47.80266,1.071443,
WEYERSHEIM,National,48.717981,7.797038,
LURBE ST CHRISTAU,National,43.120213,-0.605614,
TENAY HAUTEVILLE,National,45.922296,5.50096,
QUESNOY LE MONTANT,National,50.10883,1.702417,
ST GEORGES DE LUZENCON,National,44.066054,2.98352,
LALUQUE,National,43.824587,-0.967298,
NUITS SOUS RAVIERES,National,47.729785,4.211259,
NUITS SOUS RAVIERES,National,47.732776,4.211944,
FRENOUVILLE CAGNY,National,49.141143,-0.260108,
TINCQUES,National,50.35702,2.498152,
ANDRESY,National,48.974784,2.049102,
BON ENCONTRE,National,44.174579,0.661067,
BON ENCONTRE,National,44.174642,0.661339,
SAIN BEL,National,45.811318,4.601697,
ANDELOT,National,46.859632,5.9235,
ANDELOT,National,46.858402,5.920846,
FISMES,National,49.310924,3.682513,
AYTRE PLAGE,National,46.127638,-1.128491,
MARQUISE RINXENT,National,50.805391,1.731517,
VILLIERS ST GEORGES,National,48.65019,3.412835,
SOMMESOUS,National,48.736423,4.194059,
ST LAURENT DE LA PREE,National,45.993745,-1.028634,
CYSOING,National,50.56212,3.209799,
RUE,National,50.273176,1.675883,
BADAN,National,45.601838,4.780173,
BADAN,National,45.602728,4.784169,
VERSAILLES MATELOTS,National,48.795541,2.096902,
VERSAILLES MATELOTS,National,48.795523,2.095775,
PARSAC GOUZON,National,46.198339,2.174491,
ASNIERES SUR SEINE,National,48.905528,2.284226,
ASNIERES SUR SEINE,National,48.905232,2.284018,
ASNIERES SUR SEINE,National,48.905632,2.284369,
SALECHAN SIRADAN,National,42.962912,0.631314,
HERRLISHEIM,National,48.727647,7.910328,
LACOURTENSOURT,National,43.663399,1.414292,
LUCON,National,46.463724,-1.167425,
ISSOIRE,National,45.544108,3.254208,
DON SAINGHIN,National,50.551705,2.913917,
DON SAINGHIN,National,50.551472,2.913559,
EVRON,National,48.155693,-0.396953,
CH ATEAU L EVEQUE,National,45.244503,0.688278,
NERAC,National,44.131435,0.3355009999999999,
NERAC,National,44.131411,0.335218,
LORIOL,National,44.754434,4.816948,
PONTOISE,National,49.045569,2.101953,
PONTOISE,National,49.046725,2.09559,
CARCASSONNE,National,43.218269,2.352987,
LA MENITRE,National,47.397304,-0.275983,
COURTHEZON,National,44.08991,4.888305,
CHIVRES EN LAONNOIS,National,49.637478,3.841927,
LE LUC ET LE CANNET,National,43.390251,6.343172,
JARVILLE LA MALGRANGE,National,48.672219,6.198019,
JARVILLE LA MALGRANGE,National,48.669988,6.202963,
JOUE LES TOURS,National,47.354231,0.668049,
JOUE LES TOURS,National,47.354469,0.665781,
VALLON,National,46.535841,2.611578,
BREITENBACH,National,48.028549,7.104296,
GALUZOT,National,46.642068,4.330079,
ORMOY VILLERS,National,49.20031,2.83727,
ORMOY VILLERS,National,49.199597,2.83647,
ORMOY VILLERS,National,49.200124,2.837538,
BENESTROFF,National,48.906184,6.750598,
BENESTROFF,National,48.906192,6.750621,
BENESTROFF,National,48.906756,6.752319,
VERETZ MONTLOUIS,National,47.371456,0.819957,
COLMAR,National,48.073172,7.346943,
COLMAR,National,48.072706,7.346746,
COLMAR,National,48.07531,7.349087,
ARRAS,National,50.286496,2.781967,6.661506849315069
ARRAS,National,50.286701,2.781878,6.661506849315069
FAUGA,National,43.403613,1.281942,
OYONNAX,National,46.259553,5.653142,
MONTATAIRE,National,49.251175,2.436213,
COURCAY TAUXIGNY,National,47.237833,0.867626,
AVENUE DU PRESIDENT KENNEDY RADIO FRANCE,National,48.853038,2.280644,
SALSES,National,42.835565,2.917413,
EGLY,National,48.582411,2.222189,
OISSEL,National,49.343053,1.102283,
OISSEL,National,49.331194,1.10293,
RONCHIN,National,50.603869,3.077597,
MONTIERES,National,49.909602,2.264589,
LA ROCHELLE VILLE,National,46.152516,-1.14516,4.357792207792208
LA ROCHELLE VILLE,National,46.155426,-1.140832,4.357792207792208
LE CREUSOT,National,46.808446,4.429992,
XERTIGNY,National,48.052718,6.376775,
VILLEFORT,National,44.439462,3.924035,
ASPRES SUR BUECH,National,44.518874,5.754738,
ASPRES SUR BUECH,National,44.51938,5.754332,
ST AMARIN,National,47.872801,7.028771,
NOMAIN OUVIGNIES,National,50.506303,3.230767,
DAMBLAIN,National,48.093807,5.656347,
FREPILLON,National,49.046068,2.197111,
HERICY,National,48.442707,2.76079,
SAINS DU NORD,National,50.08867,4.001578,
LUTZELBOURG,National,48.729847,7.251833,
CARNOULES,National,43.29747,6.186695,
NEUILLY SUR MARNE,National,48.860011,2.521345,
M ACON PORT FLUVIAL,National,46.293829,4.818122,
ORANGE,National,44.137455,4.819641,
ORANGE,National,44.137447,4.819662,
LAMOTTE BEUVRON,National,47.595988,2.021745,
BAIGTS DE BEARN,National,43.510309,-0.84591,
ALBERT,National,50.005861,2.644583,
BOURGES,National,47.094618,2.394323,
PAGNY SUR MOSELLE,National,48.985695,6.025819,
PAGNY SUR MOSELLE,National,48.985103,6.025498,
SOLIGNAC LE VIGEN,National,45.756732,1.284638,
CRAVANT BAZARNES,National,47.679545,3.680856,
NICE ST AUGUSTIN,National,43.670674,7.216447,
BOUILLY RONCENAY,National,48.195346,4.058283,
LA BOHALLE,National,47.43444,-0.400795,
FREVIN CAPELLE,National,50.347278,2.63336,
VALENCIENNES,National,50.364607,3.517356,
